Author,Comment,LikeCount,PublishedAt
@luc45gg14,"To anyone who is wondering, the artist name is Anna Devís",26026,2024-09-14T13:26:47Z
@zabaccacak,"&quot;Have you ever painted your hat cause she has, just for an avocado, brilliant!&quot; Damn that narating",6706,2024-09-14T14:09:54Z
@lemiirade,"Wow I really needed that narration, thank you! And I absolutely love how there’s no credit. Lovely work that you put into this YouTube short",36106,2024-09-07T21:07:03Z
@sego379,Wow this woman is far more creative than this narrator&#39;s whole youtube career,633,2024-09-14T04:33:50Z
@ALadyy0,"You just gonna post the vids and give no credit?? You talk about her but where is the credit, how ppl gonna find her??",27920,2024-09-05T11:04:00Z
@goodguyamr6996,"everyone needs to shut the hell up sometimes, and today, it’s this guy",31,2024-09-17T20:30:02Z
@midweekmike,I don&#39;t like using this word but bro was indeed yapping,3822,2024-09-07T10:51:38Z
@vin1701,This narration is like when a kid comes up to you and says “look what I can do”…and then does a half assed hand stand.,191,2024-09-12T23:30:55Z
@riann295,“The balloon she creates will make you think deep” <br><br>Me tryna figure out when I should start deep thinking,745,2024-09-11T03:41:13Z
@SleepyGameFacts,"No hate, but I&#39;m 110% confident I could replicate this",185,2024-09-17T12:12:37Z
@koketjaffer1486,"For people who doesn&#39;t know who is she, she is &quot;This woman&quot; 💀<br><br><br>Edit:after a deep analysis her name is Anna devís",5029,2024-09-10T20:49:31Z
@MrEryatos,Its basically the same idea everytime. Cool but not SUPER creative. But let me be clear: great picture ideas,7146,2024-09-03T11:08:43Z
@Kromi_972,Damn what a Creativity she has🤌🏻,5,2024-09-14T08:08:03Z
@Bunny_Leee,This is the type of stuff you see at target or Walmart at the arts and craft area this is wonderful 😌👏🏾,1103,2024-09-07T00:17:26Z
@sreeram4964,"She is the artist and artist is her. She is the woman with a hat. Balloon, avocado, brilliant, legendary daisy..",1,2024-09-19T15:04:38Z
@MrGN-Dayne,"Oh my god she is the most creative woman in the entire world. <br>She does the exact same thing, in different colors!",1082,2024-09-06T18:43:25Z
@please-wake-up-now,"Her work really does spark joy! 🌟 I get why some say it&#39;s similar, but isn&#39;t that the beauty of art? Like a signature style that makes you feel good every time! 🎨💕",28,2024-09-09T14:01:04Z
@CrackerJackIsHere,&quot;this woman&quot; is such an amazing credit to the creator,4,2024-12-28T22:55:12Z
@VenuGopal-ml1hf,Super creative ❤,143,2024-08-31T16:22:12Z
@liviaperch2785,“most creative woman in the world!” paints her hat one solid color and stands still 👍🏽,40,2024-09-13T01:22:17Z
@LalchhandamiSiakeng,The first is so creative she lookd like she is on a vacation,253,2024-09-05T13:14:00Z
@codycast,None of these were “brand” photos. Just her doing photo shoots. I mean they look cool but no need to make her into this genius,16,2024-09-13T02:43:43Z
@Cagemcculley-ob4ew,"Honestly, I feel like anybody with a brain to come up with these not gonna lie",1,2025-02-05T03:33:20Z
