Author,Comment,LikeCount,PublishedAt
@andreslezcano4525,Frustration is not just a human emotion.,56708,2024-07-03T03:09:31Z
@ThereForWar,“Maybe if you do it this wa…”<br>“SHUT TF UP!”😂,37536,2024-07-07T08:10:48Z
@taygee7328,Its the shoe😂😂😂 True rage is when someone comes at you with a shoe,37888,2021-06-25T03:25:12Z
@ZZLZ-cj8tl,Excellent! Just have to love that dog for trying so hard!,11,2025-02-26T07:53:08Z
@billyblack3712,&quot;SHUT UP! I&#39;M TRYNA CONCENTRATE!&quot; <br>But I ain&#39;t said nothing 😅,22063,2024-06-24T01:19:52Z
@PartyMood737,Bro started raging,4780,2024-07-23T15:50:58Z
@E3XTR3ME,"The sandal just made this a whole lot funnier, you can see the Shiba&#39;s anger lol 🤣",1810,2021-09-06T15:30:31Z
@PaulMills-h8x,Frustration turns to anger unchecked.,4,2025-03-05T04:05:56Z
@sirman8774,&quot;You think it&#39;s easy?!&quot;,5657,2024-07-14T04:44:12Z
@lorenzacoleman9210,He gets mad at the other dogs because he can&#39;t catch the hot dog. Misplace anger 😂😂😂😂,9508,2024-06-24T21:24:18Z
@animationtrilogy3407,“IM FAILING CUZ UR WATCHING ME”,2175,2024-07-06T06:14:10Z
@bikestuffmodeltrainsmorefu806,"Well, that&#39;s one way to make your dog unnecessarily aggressive.",3,2024-12-06T22:57:18Z
@rhsking05,Second dog to first dog: “they’re messing with you Fred”<br><br>First dog: “STFU Tony! I got this!”,3379,2024-06-15T17:17:17Z
@Azzinnie,He got that gamer rage,2052,2024-07-04T16:44:15Z
@D3A1H,&quot;How about i-&quot;<br>&quot;HOW ABOUT YOU SHUT TF UP&quot;,1012,2024-07-10T02:17:24Z
@SenzwaMbutuma,"His so mad angry, ultra instinct activated😅😂",8,2024-12-17T10:57:09Z
@princeabraham7713,The dog be like: &quot;oh no i&#39;m super frustrated and its all your fault.....Go away and stop distracting my focus&quot;!!!,4661,2024-06-13T07:43:58Z
@ishmellpaul5294,"He&#39;s like ,&quot;Don&#39;t you dare laugh!&quot; 😊",739,2024-07-18T12:23:03Z
@agathor338,The slipper coming out of nowhere got me 😂,2109,2024-07-27T16:00:57Z
