Author,Comment,LikeCount,PublishedAt
@jordikoalitic,Panorama Reflection Idea 💡 RATE from 1-10 👇🏼<br>SHARE &amp; FOLLOW for more IDEAS 🫶🏽,706,2024-01-23T13:31:37Z
@ishaanagrawal2819,"That&#39;s how you put feelings into pictures <br>Honestly , love your photography ❤",3366,2024-01-23T14:48:26Z
@elsk1031,素晴らしい発想力💡<br>いつも素晴らしいインスピレーションを世界に届けてくれてありがとうございます😊,80,2024-03-16T07:21:19Z
@jollypoco2899,Let&#39;s be honest the photo itself is a masterpiece ❤,472,2024-03-29T12:43:04Z
@Nevaeh-jp3ei,Omg... A picture really is worth a thousand words... 😢😢,74,2024-04-06T20:07:43Z
@dynamicvibe4248,That is one awesome panorama shot.<br>10/10.,827,2024-01-24T03:16:02Z
@Sevinch97,Impressed by that😊,89,2024-02-21T14:50:27Z
@victorlopez798,"This is awesome,  not just a photo, this is so much more. You actually  feel something when you look at it. I dont understand how you did it. Do you have any tutorials?",29,2024-03-30T18:49:43Z
@laurenhatfield4845,Your art is phenomenal it&#39;s breathtaking in every sense of the word it&#39;s like you bring to life or people dream I can never get enough of your photos they&#39;re very inspiring if you&#39;re ever on the East Coast would love to get your autograph FYI that&#39;s sincere please continue your wonderful work and I will continue to watch it until then stay blessed.,34,2024-01-23T17:25:02Z
@WildlifeinHindi,Xiaomi and photography skills,18,2024-07-23T09:41:44Z
@DIVINEFEMININEEMPRESS,Omg!!!!!! This is amazing 👏  😍 ❤️,5,2024-03-21T16:40:21Z
@alesyalola1021,"Це дуже емоційно, ми передивилися раз за разом, у Вас просто дар Божий, дуже приємно і чіпляє за живе❤",2,2024-02-21T19:02:11Z
@distraidax8860,Wow that is amazing and very inspiring to see how you can make this work in the real life.,4,2024-02-25T13:00:22Z
@markstang23,That is beautiful!  Wow! 🤯🥰,2,2024-03-26T13:58:25Z
@marvinagustin-x3y,Wow ❤ okay I&#39;ll try 👍👍👍,41,2024-02-01T06:22:49Z
@BrentMarkWilson-bmw,Another level 🔥🔥🔥🔥🔥photography . Just Brilliant 💯 brilliant 💯 brilliant 💯💯💯💯💯,0,2025-03-19T18:55:17Z
@lisear2926,Lovely picture. How wonderful it is to always have someone with you.,7,2024-01-23T17:01:31Z
@pinksunshine8843,"Oh my gosh, i love this picture. Fabulous work.",2,2024-02-15T02:13:05Z
@RajAd-g3s,Bro lovely always your photography is like magic 😮😮😮😮❤❤😊😊😊 your the beast,25,2024-01-23T14:42:32Z
@smishra6951,Just love love love n love 😍😍amazing photography❣️❣️❣️❣️,2,2024-02-29T04:28:02Z
@AanotherAardvark,It&#39;s just jaw-droppingly beautiful.,4,2024-04-29T21:29:54Z
@k1w1.4ever,Wow! Such a clear camera and great skill!,0,2025-01-10T05:15:11Z
@yellowishyoutubechannel3900,Wow ❤,4,2024-02-26T15:20:00Z
@ArchieBC,10/10 I love it! Simple idea with clean execution and fantastic result! You think like a true artist!❤😮,0,2024-10-04T19:44:36Z
@alaskafoodblog,Wonderful work boss,130,2024-01-23T13:27:05Z
@Itsmekimmyjo,This is absolutely beautiful❤,1,2024-04-16T14:32:27Z
@studymate8469,Heartbreaking and beautiful at the same time ❤❤. So many emotions in one simple picture,9,2024-06-09T05:48:33Z
@SometimesIdream333,Aw my heart broke on this one. You’re such a powerful storyteller,1,2024-02-17T03:29:30Z
@barbjohnson851,10+ 🤩 Your pictures are amazing and I love the tips!! ❤ Thanks so much for sharing!!,3,2024-01-28T14:52:08Z
@Draolven,This pic would be an awesome tribute to loved ones lost. The idea what we cant see irk might be right bwside us loving us still is a powerful feeling and this photo made me think of my dad. I miss him so much. What they mean when they say the picture is worth a thousand qords...your art is rhw reason why. Simply beautiful!❤,0,2024-08-11T00:59:36Z
@keebler7597,Stupendous 🎉,5,2024-04-10T00:39:00Z
@HIDlarissaTERRY,That’s fantastic ideas 🌹✨ thank you 💥,1,2024-08-21T21:07:18Z
@pabitradas1415,❤❤❤🎉🎉🎉🎉🎉,4,2024-04-10T19:42:41Z
@kanahannba-gu0604,表情管理うまっ！,0,2024-09-23T13:55:12Z
@mahlukbumi4639,This is the most beautiful thing I saw today on YouTube,48,2024-02-01T09:23:32Z
@radjeevdharampal4923,"Talk about a stunning picture, so beautiful ❤",1,2024-01-31T11:14:55Z
@desdemona3792,Woooow wonderful❤,4,2024-02-21T09:48:02Z
@VivaLaLynz,That’s actually so creative 😍,0,2024-07-02T16:27:16Z
@HamadTariq-p8e,Zabardast yaar😮,4,2024-08-08T10:28:54Z
@adamstokes,"Ooh, that is good.  Nice work. Actually - brilliant",2,2024-03-05T09:54:38Z
@paulohsantos81,Primeira vez que eu me emociono olhando uma foto🥹❤,6,2024-01-31T16:21:56Z
@WhyIneedGoogleHandle,Absolutely stunning.,2,2024-02-29T12:46:29Z
@arnaupuig3711,The best,13,2024-01-23T13:33:25Z
@chillhousemiix,This idea is amazing ❤,1,2024-04-29T12:28:56Z
@setapart33,Wow didn’t know that was possible ❤,5,2024-01-28T16:49:56Z
@dfbates58,You are so amazingly creative!  Love watching your work❤,0,2024-06-15T04:24:01Z
@Natalie-v7g2w,Voll schön,3,2024-01-23T15:01:51Z
@KayceeDhee,Amazing idea! I imagine you could do this with a thousand different environments all around the world if you really wanted to,0,2024-04-18T21:04:17Z
@Monalisa-u9n,Nice😮,13,2024-01-23T14:07:03Z
@Spiderslullaby,"Dude, your work is AMAZING! BEAUTIFUL!!!😊",0,2024-08-23T00:12:28Z
