Author,Comment,LikeCount,PublishedAt
,"🍄‍🟫 ‼️ The mushroom I collected in the video, Caesar mushroom, is an edible mushroom that I have information about. Please do not consume mushrooms that you do not have information about for your health. ‼️<br><br>🍄‍🟫‼️Videoda topladığım mantar, Sezar mantarı, hakkında bilgi sahibi olduğum yenilebilir bir mantardır. Lütfen sağlığınız için bilgi sahibi olmadığınız mantarları yemeyiniz. ‼️<br><br>La seta que recogí en el vídeo, la seta César, es una seta comestible de la que tengo información. Por favor, no comas setas de las que no tengas información para tu salud.<br><br>O cogumelo que colhi no vídeo, o cogumelo Caesar, é um cogumelo comestível sobre o qual tenho informações. Por favor, não coma cogumelos sobre os quais não tenha informações para sua saúde.<br><br>Гриб, который я собрал в видео, цезарский гриб, - это съедобный гриб, о котором у меня есть информация. Пожалуйста, не ешьте грибы, о которых у вас нет информации, для вашего здоровья.<br><br>ビデオで私が採ったキノコ、シーザーマッシュルームは、私が情報を持っている食用キノコです。 くれぐれも情報のないキノコを健康のために食べないように。<br><br>영상에서 채취한 버섯인 시저버섯은 제가 정보를 가지고 있는 식용버섯입니다. 건강을 위해 모르는 버섯은 절대 먹지 마세요.<br><br>Il fungo che ho raccolto nel video, il fungo Caesar, è un fungo commestibile di cui ho informazioni. Vi prego di non mangiare funghi che non conoscete per la vostra salute.",4604,2024-10-19T09:42:40Z
@markgilder9990,"I couldn’t even cook that good in a kitchen, let alone outdoors 😂",4780,2024-10-18T16:12:07Z
@yossy-d2m,いつも素敵な動画をありがとう😊今回のもとても美味しそうでいい音👍,23,2024-10-19T23:20:51Z
@idoughnotknow,Collecting water from the waterfall was so cool already. But that footage of you foraging for the mushroom was <b>chefs kiss</b>,1678,2024-10-18T17:38:45Z
@claudiabueno6027,"That&#39;s my guy right here. Every time I see his videos, it transports me there ❤",2,2024-11-19T04:52:48Z
@kseniaya5,"Ах, какое прекрасное место 😍🤩, как же природа прекрасна, нет ничего лучше!❤ и как я люблю воду, моя стихия вода, так бы и стояла под струями воды 😊, в тишине, с кружечкой горячего свежесваренного кофе! Блаженство 😍! Божественное место!!!",7,2024-10-28T07:34:29Z
@AndrewCortesi,"I’ve seen others replicate the “cooking-outdoors content” but your videos are by far the best. It really feels like you have a true appreciation for nature and the food you make. Also, I love that you never show your face. There’s something peaceful about the anonymity of it all. And last thing, great editing. Others hold on shots for too long. Overall amazing stuff! Makes me want to cook more.",673,2024-10-21T03:53:43Z
@yusiki-s3r,すごく美味しそう！自然の中で食べる料理は絶品なんだろうなぁ…,93,2024-10-18T16:07:32Z
@drnori9008,انا احب طريقة حياتك او الجانب الذي تظهره لنا من حياتك يشعرنى بالراحة في الوقت الذى اشعر به بالحزن والتعب من الحياة فعلا لقد عرفت كيف تختار طريقك الى الراحة أتمنى ان اعيش يوم واحد مثلك ❤,32,2024-11-06T16:11:44Z
@umudayolculuk7233,Oruç lu olanlara bir dakikalık saygı duruşu,4,2025-03-18T11:58:01Z
