qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,thinking_steps,video_start,video_middle,video_end
0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,"The first two people in the video use objects to hit the top of the bottle in an attempt to open it cleanly. The third person flicks the top of the bottle, causing it to break completely.",https://www.youtube.com/shorts/sj81PWrerDk,"The first two people use objects, a knife and a metal object, to open the bottles. They are attempting to hit the top of the bottle to open it. The third person taps with a spoon and then flicks the top of the bottle to break it, indicating a different approach to opening the bottle.",The video starts with a man in a black jacket and cap opening a dark-colored bottled drink using a knife to strike the top of the bottle. The bottle opens with a clean break.,"The next scene features a woman in a black sweatshirt striking the top of a bottle of Corona with what sounds like a metallic object, but the bottle breaks.","The final scene features a man with slicked-back hair in a black shirt tapping a glass bottle of Coca-Cola with a spoon. He then flicks the top of the bottle with his finger, causing the bottle to break completely."
0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,"The actions of the last person in the video differ from those of other individuals because he uses only his finger to open the bottle, whereas other people use objects. Additionally, the end result is much more disastrous than simply opening a bottle: the bottle shatters.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks me to compare the actions of the last person in the video to the actions of the other individuals. The other individuals use objects like tables, spoons, and counters to open the bottles. However, the last person uses only his finger to flick the top of the bottle off. The end result is much more disastrous than simply opening a bottle: the bottle shatters.",The video starts by showing different people trying to open bottles. One person hits a beer bottle against the corner of a table. A woman hits a beer bottle against the edge of a counter. A man uses a spoon to try to pry open a bottle.,"The middle of the video shows the Ohio Boss Satoyu, who puts his finger up, and then flicks the top of the bottle off.","The video ends with a strange sound effect as the top of the bottle breaks off, the rest of the bottle breaks, and the liquid inside spills out."
0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,"Yes, the last person opened the bottle without using a knife. He used his middle finger.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks if the LAST person opened the bottle without a knife. The last person was the man using his middle finger. The man did not use a knife, but rather his finger.",The video starts with a man in a black outfit standing at a table outside. He holds a bottle of cola. He opens the bottle with what appears to be a knife.,The video cuts to a woman in an Adidas sweatshirt. She smashes the bottle open on the counter. The video cuts to another man sitting at a table in a house. He tries to use a spoon to open the cola bottle.,The man from the middle of the video proceeds to open the bottle using his middle finger to flick the top off of the bottle. The bottle shatters and the coke spills. The video ends with the bottle smashed open.
0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,"No, the last person in the video did not use a knife. He uses his hand in a karate chop motion to break the top of the Coca-Cola bottle off.",https://www.youtube.com/shorts/sj81PWrerDk,The question asks specifically about what the *last* person in the video does. The last person is the man who karate chops the top of the Coca-Cola bottle off with his hand. He does not use a knife.,"The video starts with a person standing outside with a bottle of what appears to be beer or soda. He attempts to open it with a knife, but fails.","The video then shows a woman trying to open a beer bottle by hitting it on the edge of a countertop, which results in the bottle breaking, but not opening. Then the video shows a man with a glass bottle of Coca-Cola and what appears to be a spoon. He strikes the bottle several times with the spoon, but is unable to open it.","The final person raises his hand above the Coca-Cola bottle and does a karate chop-like motion, and the top of the bottle breaks off."
0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",D,https://www.youtube.com/shorts/sj81PWrerDk,"The question asks how the last person opened the bottle differently from the first two.
The first two people tried to open the bottles with a knife and the counter respectively. The last person used his finger to open the bottle. Therefore, the answer is D.","The video starts with a man opening a beer bottle with a knife. He hits the top of the bottle, and the bottle breaks.",The middle of the video shows a woman opening a beer bottle by hitting it against a counter. The bottle breaks.,"The end of the video shows a man opening a cola bottle. He first tries to open it with a spoon unsuccessfully and then opens it with his finger, but the bottle explodes."
0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0016-0,4mKxze5P9gQ,Primary Open-ended Question,Element Attributes (Optical Illusion),Which direction is the person facing?,15.06,Please state your answer with a brief explanation.,"The person is facing to the right side. However, when you turn the phone upside down, you will be able to see the face looking forward.",https://www.youtube.com/shorts/4mKxze5P9gQ,"The video is about an optical illusion.
The narrator requests the viewer to flip their phone upside down to see the illusion.
The comments seem to indicate that the face can be seen facing forward, and also from the side.
In the video, the man is facing the right side. However, when you turn the phone upside down, you will be able to see the face looking forward.","At the beginning of the video, a black and white image is shown of a man's face. The narrator says that only 1% of people are able to see this optical illusion.","In the middle of the video, the narrator tells you to focus on the direction of the face. Then he tells you to flip your phone upside down and look at the image from the top of the phone.","At the end of the video, the narrator counts down from 3 and tells you to blink your eyes."
