qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,thinking_steps,video_start,video_middle,video_end
0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,"The actions of the last person in the video are different from the actions of the first two people because he uses his finger to chop the top of the bottle off, while the first two people used a knife and a bottle opener respectively to remove the metal cap from the bottle.",https://www.youtube.com/shorts/sj81PWrerDk,The first person used a knife to open a beer bottle. The second person used a bottle opener. The third person opened the bottle with his fingers by striking the top of the bottle.,The video starts with a man using a knife to open a beer. Then the video transitions to a woman using a bottle opener to open her beer.,The video transitions to a man looking at a soda bottle. He has a spoon in his hand and begins to hit the top of the soda bottle with the spoon.,"The soda bottle is still unopened, and he starts doing a variety of hand signs in front of the soda bottle. He then uses his fingers to hit the top of the soda bottle, and it explodes everywhere."
0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,The last person in the video differs because he completely destroys the bottle. He does not open the glass bottle properly but hits it with his finger which decapitates the glass bottle instead.,https://www.youtube.com/shorts/sj81PWrerDk,"1. Identify the distinct methods used to open the bottles.
2. Compare the methods used by all of the individuals to the last individual's.
3. Point out the difference in the ways used to open the glass bottles.",The video shows a compilation of people opening glass bottles. The first person uses a knife. The second person hits a bottle cap on a countertop.,"The third individual tries to open a glass bottle of Coca-Cola. He uses a spoon but after failing, he points to the bottle.","The final person successfully decapitates the bottle by hitting the top of it with his finger. It instantly shatters, and the contents spill out. He grins at the camera."
0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,"No, the last person opened the bottle with a flick.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks about the last person in the video. The last person uses a flick, which means he didn't use a knife.",The video starts with a compilation of people attempting to open bottles. The first person uses a knife to hit the bottle cap until it comes off. The second person hits the bottle on the counter until the bottle breaks at the top.,The third person uses a spoon and is unable to open the bottle.,"The last person acts as if they are going to use the spoon, but they flick the top of the bottle off instead."
0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,"No, the first person in the video opened the bottle with a knife successfully, the second person breaks the neck of the bottle and the last person opens the bottle with his fingers.",https://www.youtube.com/shorts/sj81PWrerDk,"1. In the beginning of the video, the older man appears to open the bottle with the knife as intended.
2. The woman breaks the beer bottle at the neck in her attempt, which would imply failure.
3. The man successfully opens the coca cola in the glass bottle by breaking the glass bottle with his fingers.",The video begins with an older man in a black cap and black shirt using a knife to open a beer. He is holding a bottle on a brown table and there is a fire extinguisher behind him.,"The video transitions to a young woman inside using an object that sounds like the edge of a table to open the beer bottle, but the bottle breaks at the neck.","The video ends with an Asian man in a black button up shirt with a coca cola in a glass bottle. He attempts to use a spoon to open the bottle, but that fails. In the end, he snaps the top off the glass bottle with his fingers and smiles at the camera, while some of the coke splashes on him."
0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",D,https://www.youtube.com/shorts/sj81PWrerDk,"The first person uses a knife, the second person hits the top of the bottle against a hard surface, and the third person uses his finger.","A man with a white beard attempts to open a bottle with a knife. He hits the top of the bottle and breaks the top of the glass, causing the bottle to shatter.","A woman attempts to open a beer bottle, hitting it against a hard surface on the counter multiple times. She succeeds in breaking the bottle, though not cleanly.","A man sitting at a table attempts to open a glass Coke bottle using the side of a spoon, failing to open the bottle. He then uses one finger, flicks the top of the bottle and then smashes the top off with his hand."
0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
