qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,thinking_steps,video_start,video_middle,video_end
0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,"The first two people repeatedly tap the bottle cap directly with an object in an attempt to open it. In contrast, the last person, after some initial tapping, opens the bottle using a hand gesture performed above the cap without physically touching it.",https://www.youtube.com/shorts/sj81PWrerDk,<NA>,<NA>,<NA>,<NA>
0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,"The actions of the last person differ significantly from the first two individuals. While the first two people are shown simply tapping the cap of their respective bottles with a small object, the last person, after initially tapping the cap, performs a swift chopping motion with his hand towards the bottle. This action results in the bottle cap and the top rim of the bottle apparently vanishing, seemingly opening the bottle through a magic trick or special effect, which is a completely different and more dramatic action and outcome compared to the simple tapping demonstrated by the others.",https://www.youtube.com/shorts/sj81PWrerDk,<NA>,<NA>,<NA>,<NA>
0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,"Yes, the last person opened the bottle without using a knife. He used a hand gesture or trick to pop the cap off after initially tapping it with a chopstick.",https://www.youtube.com/shorts/sj81PWrerDk,<NA>,<NA>,<NA>,<NA>
0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,"No, the last person in the video did not open the bottle with a knife. While the first two people did fail to open their bottles using knives, the last person first attempted to open the Coca-Cola bottle by tapping the cap with a small stick-like object and then seemingly made the cap disappear with a hand gesture, not by using a knife.",https://www.youtube.com/shorts/sj81PWrerDk,<NA>,<NA>,<NA>,<NA>
0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",E,https://www.youtube.com/shorts/sj81PWrerDk,<NA>,<NA>,<NA>,<NA>
0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,"Four robot figures appear in the video. Initially, one figure in a white suit is shown walking, then it joins two others (one in silver/grey, one in black) on a stage. A fourth figure in a red/gold suit is also visible standing with the group towards the end.",https://www.youtube.com/shorts/AGCyLqLuUJ0,<NA>,<NA>,<NA>,<NA>
0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,"There are a total of four robot figures shown in the video. One is featured walking initially, and later, this figure is shown posing alongside three other distinct robot figures in different suits (silver/grey, black/silver, and reddish/maroon/gold).",https://www.youtube.com/shorts/AGCyLqLuUJ0,<NA>,<NA>,<NA>,<NA>
0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,"Yes, the video displays four robot figures in total. Initially, one robot is shown walking, but later the scene reveals a display featuring that robot alongside three other distinct robot figures, bringing the total count to four.",https://www.youtube.com/shorts/AGCyLqLuUJ0,<NA>,<NA>,<NA>,<NA>
0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,"No, there are not only two robot figures shown in the video. Four distinct robot figures are visible standing side-by-side in front of the ""EX ROBOT"" backdrop towards the end of the clip.",https://www.youtube.com/shorts/AGCyLqLuUJ0,<NA>,<NA>,<NA>,<NA>
0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",C,https://www.youtube.com/shorts/AGCyLqLuUJ0,<NA>,<NA>,<NA>,<NA>
