Author,Comment,LikeCount,PublishedAt
@cheyanngluck8194,His smile and absolute joy when he&#39;s sweeping the broom always makes me smile.,223211,2024-05-24T17:16:57Z
@odditynix,The little scuttle backwards sweeping is the best thing 😂,31345,2024-05-25T11:02:22Z
@tinymeanginger6293,His joy with the broom was so pure lol,30183,2024-05-24T02:27:14Z
@she-hulkSMASHES,Never seen someone so excited to sweep the floor,12107,2024-05-24T20:47:23Z
@NickCev,I like to believe that this wasn’t scripted.,34194,2024-05-24T02:15:35Z
@gailgreen1525,That movement with the broom was so smooth,11190,2024-05-29T11:52:43Z
@MaryelleBea,"So cute!  The things taller people dont need to think about, he is joyous to find everything in his size.❤",7,2025-03-06T16:32:09Z
@Arvalen,The reason accessibilty matters. The joy of the world accomodating you is fantastic.,4069,2024-08-14T11:46:15Z
@Digglesisdead,This is the purest thing I&#39;ve ever seen!  I am delighted!,2254,2024-06-07T00:59:33Z
@CCHS-MFA,His joy is palpable and contagious. 😄,2229,2024-05-30T00:48:41Z
@kimberleyorr3456,"😂😂 his: yeah, ugh it&#39;s great when you don&#39;t have back problems 😂😂😂",8,2025-02-19T04:40:26Z
@geministrial950,Its always nice remembering how contagious happiness is,1468,2024-05-30T15:26:36Z
@carolynvillaceran9736,seeing a customized house is really amazing,1652,2024-08-08T15:19:59Z
@merrylcull9158,This is beautiful seeing the joy on his face,3435,2024-07-05T08:59:02Z
@Adyan-u8o,Literally my dad when he gets home from work😂😂😂😂,2,2025-04-06T07:54:36Z
@DYNAMITE-p4x,The way he laughs and smiles with excitement in his eyes is honestly so sweet.,2479,2024-05-30T07:18:57Z
@GuwJuice_PttP,His mom is honestly so beautiful,1131,2024-05-29T15:18:46Z
@user-oy8se2yh7b,He deserves to be in movies. Period!,1977,2024-05-28T15:57:13Z
@donnabarron6727,She&#39;s beautiful and this is great,2,2025-02-09T03:40:25Z
@isfp4w3,He&#39;s so animated we all love him,1724,2024-05-28T09:01:08Z
@sarahvickers56,"It doesn&#39;t matter how many times i watch this video i still smile at his reaction, his face lights up like xmas morning",2197,2024-05-30T22:14:10Z
@shelbyhunterz2.0,"i&#39;ve never seen someone so motivated to clean, love it!",1903,2024-05-30T16:20:23Z
@はね-z2c,彼らのshortを今まで何本も見ていたのに気がつかなかった。家のすべてがお母さんの為にカスタマイズされていたのですね。素晴らしい家、素晴らしい家族！,19,2025-02-05T13:00:28Z
@RG-Reborn,He&#39;s really excited to see a home brought down to his size. Wholesome☺️☺️☺️,12985,2024-05-28T06:06:57Z
@softpurplebat,Ahhh his genuine excitement and happiness is the most wonderful and cutest thing EVER!!,1322,2024-05-28T10:26:26Z
@anthonysherbun1751,This guy needs to be in Hollywood. Very few people have that charisma.,2713,2024-06-08T18:55:19Z
@hamidafarida9182,His smile and absolute joy when he&#39;s sweeping the broom always me smile,1,2025-04-05T03:36:51Z
@mylifebyt2688,"He felt right at home, this was so cute!",1928,2024-05-29T04:56:39Z
@melissashuler8246,I watched this about 5 times already and the broom gets me every time😅,1983,2024-05-24T04:17:20Z
@chicken,His happiness over a broom is a reminder to find joy in the simple things.,4524,2024-08-01T17:21:42Z
@gospelsongsdelilah4799,The joy is so pure and contentious 😂❤,1,2025-03-20T20:21:29Z
@Odurs,His happiness is truly infectious. The way he sweeps the floor brings so much joy.,2425,2024-07-23T17:38:36Z
@Master_Chief_0_0,Man I genuinely felt happiness with this man&#39;s kid like reactions.,1187,2024-05-28T16:05:34Z
@PVT.Ramirez-x2y,The mom is pure joy and gold ❤,1023,2024-06-09T21:35:55Z
@Michicake123,His enthusiasm is contagious🤗🤗,2,2025-02-03T07:01:46Z
@4_is-my_sonXD,Why is he actually so adorable😭,620,2024-06-24T17:03:22Z
@SFVGIRL,That man should be an actor. 😂 His movements and expressions are so perfect! ❤🎉,1167,2024-06-09T06:17:46Z
@reneerenee6166,"When he sat on that couch, I felt his joy. Mom is very pretty. What a warm and cool video. Kudos!",415,2024-09-05T16:05:26Z
@theresareynolds8307,The joy he brings to the world bounces back to us. Lucky.,5,2025-02-08T21:51:41Z
@winstonviewz4577,"Bro looks so happy, bless his soul",404,2024-05-28T10:46:06Z
@garico7464,He keeps saying its awsome. Ive got to agree with him. Superb!,1860,2024-05-29T13:27:11Z
@ithseem,This put a smile on my face. His joy is too cute,599,2024-05-29T18:54:53Z
@EvanBitBack,"From one Evan to another, this is how we act lol I love it",1,2025-03-24T05:51:50Z
@caitroseco6752,"It’s really heartwarming seeing how happy he is getting to exist in a world that is optimized for people his size for a few hours. And for those of us without dwarfism, a good reminder not to take your height for granted",1067,2024-06-04T20:47:10Z
@smile25-b2m,This is cute. Mom is gorgeous 🥰,117,2024-08-24T18:17:53Z
@aprilkerr5501,"My son was a little person, and he would have loved this!! Accessibility is big!❤",609,2024-08-25T00:57:45Z
@TheDragonOfTheWest-,“you’re messing up my set”😆,3,2025-02-06T12:43:20Z
@SiriAnimatesAlt,The pure joy this man felt is crazy,164,2024-06-23T19:48:52Z
@SavageMonkeyJizz,You guys are probably the most genuinly wholesome channel ive seen. Your mum has a great sense of humour to go along in the skits she&#39;s awesome!,492,2024-05-29T17:59:35Z
@LemonaCat,That pure joy on his face 🤭<br>Awwww so so sweet,1901,2024-05-28T02:48:34Z
