qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,thinking_steps
0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,"The first two people used either a knife or another bottle to open the cola, whereas the last person used their finger to open the cola.",https://www.youtube.com/shorts/sj81PWrerDk,"The first two people used either a knife or another bottle to open the cola, whereas the last person used their finger to open the cola."
0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,The last person in the video shattered the top of the bottle instead of removing the cap. They also had an anime-esque reaction compared to the others.,https://www.youtube.com/shorts/sj81PWrerDk,The last person in the video shatters the top of the bottle and has a more anime-esque dramatic reaction than the other people in the video.
0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,"Yes, the last person in the video opens the cola without using a knife.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks whether the person in the video opened the bottle without a knife.
Based on the title of the video ""How to open a cola correctly"", I assume there are multiple ways of opening cola in the video."
0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,"Yes, the last person in the video opened the bottle with a knife after the first two people failed in their attempts.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks whether the last person in the video opened the bottle with a knife after the first two failed.
I need to watch the video and observe the number of people trying to open the bottle, whether they failed or succeeded, and how they did it.
The first person uses a knife, fails to open the bottle but breaks the top off of it.
The second person uses a knife, fails to open the bottle but breaks the top off of it.
The third person uses a knife, successfully cleaving the top off the bottle with a flick of the wrist."
0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",D,https://www.youtube.com/shorts/sj81PWrerDk,The first two people open the bottle using knives. The last person opens the bottle using a finger.
0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,
0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,
0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,
0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,
0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,
