qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,thinking_steps,video_start,video_middle,video_end
0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,"The first two people used brute force using a metal object or hitting the bottle against a surface to open it, while the last person in the video used a precise finger flick.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks to compare the difference between the last person's action versus the first two people.
The first two people used force to open the bottle by hitting it against a surface or using a metal object. The last person uses a spoon but not to force it open. Instead, he uses a finger flick, showing precision and technique, while the first two were more aggressive and brute-force approaches.",The video begins with a man standing outside at a wooden table. He has a bottle in front of him and then uses a metal object and forcefully strikes the top of the bottle opening it.,The second person shown is a woman in a kitchen. She holds a beer bottle in front of her and then repeatedly hits the top of it against the counter until it breaks open.,The last person in the video is a man who uses a spoon to tap the top of the coca-cola bottle to open it. He then flicks his finger and breaks the top of the bottle. He smiles at the camera.
0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,"The last person differs by opening the bottle with a swift chop motion of their hand, rather than using a tool or trying to pry the top off. They break the top of the bottle completely off, instead of just removing the cap.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks about how the last person differs from the others.
The other individuals are using tools or blunt force to remove the cap from the bottle.
The last person uses a single swift chop to break the top off the bottle.",The video starts with a series of clips showing people attempting to open bottles. The first person opens a bottle using a knife. The second person opens a beer bottle by smashing it against a surface.,"The video continues with more people trying to open bottles using various methods. The first person uses a spoon, but it doesn't work. The last person is shown standing behind a bottle of cola.","The last person opens the bottle with a swift chop motion from their hand, breaking the top off, and then smiles."
0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,"No, the last person did not use a knife. The last person snapped the top of the bottle off using just one finger.",https://www.youtube.com/shorts/sj81PWrerDk,"The question asks whether the last person in the video opened the bottle without using a knife. Based on the video, the last person snapped the bottle open using one finger.",The video starts with a man standing in front of a wooden table with a bottle of Cola on it. He hits the bottle with a knife and the cap flies off.,"The video continues with three other individuals trying to open the bottle. The first person breaks the top of the bottle while trying to open it. The next person hits the cap of the bottle with a spoon. After hitting the cap with a spoon, the person uses their finger and thumbs and snaps the cap off.","The last person uses one finger and snaps the bottle open, which causes the top part of the bottle to break and shatter."
0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,"No, the last person in the video opens the bottle with a flick of his fingers, not a knife, while the first two people fail in their attempts.",https://www.youtube.com/shorts/sj81PWrerDk,"The first man tries to open the bottle with a knife, but the top shatters. The woman slams the bottle on the counter, and it breaks. The last person opens the bottle with a flick of his fingers, not a knife. So the last person did not use a knife.","The video starts with a man trying to open a bottle of beer with a knife. He hits the bottle, and the top shatters.","Next, a woman attempts to open another beer bottle by slamming it down on a countertop, but the bottle shatters in half.","Lastly, a man in a black shirt taps a Coca-Cola bottle with a spoon several times. He then flicks his fingers, and the top of the bottle cleanly breaks off."
0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",D,https://www.youtube.com/shorts/sj81PWrerDk,"The question asks about how the *last* person opens the bottle, comparing their method to the first two.
The first person uses a knife, the second person uses the counter, and the last person uses his finger.
Of the answer options, the one that accurately describes the last person's method is ""D. He uses his finger.""",The video begins with a man in a black outfit opening a bottle of beer using a knife.,"Next, a woman wearing a black Adidas sweater opens a beer bottle by hitting it against the edge of a counter.","Finally, a man in a black shirt opens a Coca-Cola bottle by striking it with his finger, causing the top of the bottle to break off."
0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,,,,
